trial,word_number,match,reaction_time,correct
1,1,False,1430,False
1,2,True,13240,False
1,3,False,2506,True
1,4,False,1480,True
1,5,True,13747,True
1,6,False,1602,True
1,7,False,2473,False
1,8,True,864,True
1,9,False,4781,False
1,10,False,1184,True
2,1,False,1185,True
2,2,True,3710,True
2,3,False,1517,True
2,4,False,1431,True
2,5,True,1274,True
2,6,False,1523,True
2,7,False,1145,True
2,8,True,1182,True
2,9,False,1794,True
2,10,False,1066,True
3,1,False,1231,True
3,2,False,970,True
3,3,False,740,True
3,4,True,820,True
3,5,False,906,True
3,6,False,775,True
3,7,False,841,True
3,8,True,1447,True
3,9,False,716,True
3,10,False,839,True
