trial,word_number,match,reaction_time,correct
1,1,False,803,False
1,2,False,839,False
1,3,False,664,False
1,4,True,645,True
1,5,False,831,False
1,6,False,624,False
1,7,False,727,False
1,8,False,648,False
1,9,False,704,False
1,10,False,593,False
2,1,True,557,True
2,2,False,583,False
2,3,True,632,True
2,4,True,603,True
2,5,False,563,False
2,6,False,766,False
2,7,False,9214,False
2,8,False,751,False
2,9,True,613,True
2,10,False,643,False
3,1,True,1820,True
3,2,True,1196,True
3,3,True,1316,True
3,4,False,1128,False
3,5,False,1015,False
3,6,False,1010,False
3,7,False,785,False
3,8,True,900,True
3,9,False,712,False
3,10,True,898,True
