trial,word_number,match,reaction_time,correct
1,1,False,1037,True
1,2,False,1427,True
1,3,False,807,True
1,4,False,725,True
1,5,True,1742,True
1,6,False,847,True
1,7,True,807,True
1,8,False,925,True
1,9,False,770,True
1,10,True,1284,True
2,1,False,932,True
2,2,False,1032,True
2,3,False,742,True
2,4,False,1179,True
2,5,False,952,True
2,6,False,792,True
2,7,False,835,True
2,8,False,900,True
2,9,False,849,True
2,10,False,810,True
3,1,False,819,True
3,2,True,737,True
3,3,False,685,True
3,4,True,642,True
3,5,False,522,True
3,6,True,543,True
3,7,True,699,True
3,8,False,706,True
3,9,False,1548,True
3,10,True,965,True
