trial,word_number,match,reaction_time,correct
1,1,False,1681,True
1,2,False,1149,True
1,3,False,1278,True
1,4,False,1258,True
1,5,False,1391,True
1,6,True,935,True
1,7,True,1428,True
1,8,False,1039,True
1,9,True,984,True
1,10,False,922,False
2,1,False,1211,True
2,2,False,1053,True
2,3,True,801,True
2,4,False,854,True
2,5,False,1041,True
2,6,False,1058,True
2,7,False,912,True
2,8,True,1001,True
2,9,False,1121,True
2,10,False,1018,True
3,1,False,1025,True
3,2,False,15257,True
3,3,False,936,True
3,4,True,697,True
3,5,False,692,True
3,6,False,899,True
3,7,True,814,True
3,8,False,1139,True
3,9,True,928,True
3,10,False,1116,True
