trial,word_number,match,reaction_time,correct
1,1,False,1102,True
1,2,False,1099,True
1,3,False,864,True
1,4,True,1180,True
1,5,False,17071,False
1,6,False,743,True
1,7,False,674,True
1,8,False,535,True
1,9,True,805,True
1,10,False,755,True
2,1,False,705,True
2,2,False,2476,False
2,3,False,663,True
2,4,True,549,True
2,5,False,536,True
2,6,False,546,True
2,7,False,757,False
2,8,True,678,True
2,9,False,699,True
2,10,False,543,True
3,1,True,2352,True
3,2,True,566,True
3,3,False,1946,True
3,4,False,526,True
3,5,False,745,True
3,6,False,658,True
3,7,False,608,True
3,8,False,2898,True
3,9,False,514,True
3,10,True,596,True
