trial,word_number,match,reaction_time,correct
1,1,True,681,True
1,2,True,524,True
1,3,True,628,True
1,4,False,769,False
1,5,False,599,False
1,6,False,659,False
1,7,False,610,False
1,8,False,675,False
1,9,False,588,True
1,10,False,678,False
2,1,False,545,False
2,2,False,641,False
2,3,False,576,False
2,4,True,561,False
2,5,False,616,True
2,6,False,580,False
2,7,False,670,False
2,8,False,721,True
2,9,False,801,False
2,10,False,572,True
3,1,True,549,False
3,2,False,743,False
3,3,False,534,False
3,4,False,607,False
3,5,True,603,True
3,6,False,561,True
3,7,False,1203,True
3,8,False,577,True
3,9,False,562,True
3,10,False,574,True
