trial,word_number,match,reaction_time,correct
1,1,True,1231,True
1,2,False,1144,True
1,3,False,1289,True
1,4,False,1160,True
1,5,False,1278,True
1,6,False,1419,True
1,7,False,1241,True
1,8,False,2117,True
1,9,False,1300,True
1,10,False,1519,False
2,1,False,1179,True
2,2,False,1201,False
2,3,True,1641,True
2,4,False,1209,True
2,5,False,1463,True
2,6,False,1917,True
2,7,True,1089,True
2,8,False,1009,True
2,9,False,1075,True
2,10,False,1258,True
3,1,False,1241,True
3,2,True,1302,True
3,3,False,1187,True
3,4,False,1263,True
3,5,False,1493,True
3,6,False,1171,True
3,7,False,1243,True
3,8,False,1349,True
3,9,True,2632,True
3,10,False,5719,True
