trial,word_number,match,reaction_time,correct
1,1,True,1015,True
1,2,True,920,True
1,3,True,1192,True
1,4,True,839,True
1,5,True,717,True
1,6,False,1244,True
1,7,False,1029,False
1,8,True,1358,True
1,9,False,1244,True
1,10,True,976,True
2,1,False,894,True
2,2,False,866,True
2,3,False,842,True
2,4,False,831,True
2,5,True,584,True
2,6,False,688,True
2,7,False,1370,True
2,8,False,846,True
2,9,True,611,True
2,10,True,645,True
3,1,True,777,True
3,2,False,1001,True
3,3,False,756,True
3,4,False,782,True
3,5,False,1039,True
3,6,False,1008,True
3,7,False,845,True
3,8,True,918,True
3,9,False,764,True
3,10,False,664,True
