trial,word_number,match,reaction_time,correct
1,1,True,1656,True
1,2,False,1607,True
1,3,False,1953,True
1,4,False,1445,True
1,5,True,3871,True
1,6,False,1588,True
1,7,False,1754,True
1,8,False,1168,True
1,9,False,1771,True
1,10,False,1876,True
2,1,True,1014,True
2,2,True,1068,True
2,3,False,1180,True
2,4,True,967,True
2,5,False,1034,True
2,6,False,1223,False
2,7,False,2154,False
2,8,False,3485,True
2,9,False,1761,True
2,10,True,3024,True
3,1,False,1033,True
3,2,True,2738,True
3,3,False,1085,True
3,4,False,1052,True
3,5,False,1168,True
3,6,False,1092,False
3,7,True,1421,True
3,8,False,1584,True
3,9,False,2055,True
3,10,False,1491,False
