trial,word_number,match,reaction_time,correct
1,1,False,14691,True
1,2,False,3276,True
1,3,False,880,True
1,4,False,1964,True
1,5,False,1139,True
1,6,True,1466,True
1,7,True,1089,True
1,8,False,1024,True
1,9,False,1294,True
1,10,False,1288,False
2,1,False,1008,True
2,2,False,1695,True
2,3,False,951,True
2,4,True,1016,True
2,5,False,1389,True
2,6,False,1136,True
2,7,True,932,True
2,8,False,1171,True
2,9,False,966,True
2,10,False,1368,True
3,1,True,1036,True
3,2,False,996,True
3,3,False,822,True
3,4,True,934,True
3,5,False,834,False
3,6,True,1292,True
3,7,False,909,True
3,8,False,963,True
3,9,True,991,True
3,10,False,1116,True
