trial,word_number,match,reaction_time,correct
1,1,False,1358,True
1,2,True,1409,True
1,3,False,1787,True
1,4,False,1685,True
1,5,False,1220,True
1,6,False,1561,True
1,7,False,1367,True
1,8,False,711,True
1,9,False,1464,True
1,10,False,1970,True
2,1,False,1108,True
2,2,False,1161,True
2,3,False,1117,True
2,4,True,1229,True
2,5,False,1031,False
2,6,False,1377,True
2,7,True,2021,True
2,8,True,1394,True
2,9,False,1232,True
2,10,True,595,True
3,1,False,905,True
3,2,False,1505,True
3,3,True,858,True
3,4,True,789,True
3,5,False,1917,True
3,6,False,686,False
3,7,True,804,True
3,8,False,761,True
3,9,True,733,True
3,10,False,1614,True
